Year,Readings,Female,Male,SA,SA.F,SA.M,FM,FF,MM,FM.Ratio,FM.Weighted
1651,2,0,2,2,0,2,0,0,0,0,0
1776,2,0,2,2,0,2,0,0,0,0,0
1786,1,0,1,1,0,1,0,0,0,0,0
1868,1,0,1,1,0,1,0,0,0,0,0
1900,4,0,4,4,0,4,0,0,0,0,0
1904,2,0,2,2,0,2,0,0,0,0,0
1909,2,0,2,2,0,2,0,0,0,0,0
1910,1,0,1,1,0,1,0,0,0,0,0
1914,1,0,1,1,0,1,0,0,0,0,0
1915,1,0,1,1,0,1,0,0,0,0,0
1917,2,0,2,2,0,2,0,0,0,0,0
1918,3,0,3,3,0,3,0,0,0,0,0
1919,2,0,2,2,0,2,0,0,0,0,0
1925,4,0,4,4,0,4,0,0,0,0,0
1926,2,0,2,2,0,2,0,0,0,0,0
1927,1,0,1,1,0,1,0,0,0,0,0
1930,4,0,4,4,0,4,0,0,0,0,0
1931,1,0,1,1,0,1,0,0,0,0,0
1932,1,0,1,1,0,1,0,0,0,0,0
1933,2,0,2,2,0,2,0,0,0,0,0
1936,4,0,4,4,0,4,0,0,0,0,0
1937,3,0,3,3,0,3,0,0,0,0,0
1938,4,1,3,4,1,3,0,0,0,0.25,0.25
1939,4,0,4,4,0,4,0,0,0,0,0
1940,3,0,3,3,0,3,0,0,0,0,0
1941,1,0,1,1,0,1,0,0,0,0,0
1942,1,0,1,1,0,1,0,0,0,0,0
1943,3,0,3,3,0,3,0,0,0,0,0
1944,1,0,1,1,0,1,0,0,0,0,0
1945,3,0,3,3,0,3,0,0,0,0,0
1946,4,0,4,4,0,4,0,0,0,0,0
1947,1,0,1,1,0,1,0,0,0,0,0
1948,5,0,5,5,0,5,0,0,0,0,0
1950,2,0,2,2,0,2,0,0,0,0,0
1951,6,0,6,6,0,6,0,0,0,0,0
1952,2,0,2,2,0,2,0,0,0,0,0
1953,6,0,8,4,0,4,0,0,2,0,0
1955,1,0,1,1,0,1,0,0,0,0,0
1956,10,1,10,9,1,8,0,0,1,0.091,0.1
1957,7,0,9,5,0,5,0,0,2,0,0
1958,3,0,3,3,0,3,0,0,0,0,0
1959,7,0,7,7,0,7,0,0,0,0,0
1960,4,0,4,4,0,4,0,0,0,0,0
1961,3,0,3,3,0,3,0,0,0,0,0
1962,12,0,12,12,0,12,0,0,0,0,0
1963,6,1,5,6,1,5,0,0,0,0.167,0.167
1964,9,1,8,9,1,8,0,0,0,0.111,0.111
1965,7,0,8,6,0,6,0,0,1,0,0
1966,21,1,27,16,1,15,0,0,5,0.036,0.048
1967,13,0,14,12,0,12,0,0,1,0,0
1968,10,1,10,9,0,9,1,0,0,0.091,0.05
1969,19,4,22,12,0,12,4,0,3,0.154,0.105
1970,23,2,24,20,2,18,0,0,3,0.077,0.087
1971,25,1,25,24,1,23,0,0,1,0.038,0.04
1972,16,1,18,14,0,14,1,0,1,0.053,0.021
1973,20,1,22,17,1,16,0,0,3,0.043,0.05
1974,24,3,23,22,3,19,0,0,2,0.115,0.125
1975,18,4,19,13,3,10,1,0,4,0.174,0.194
1976,30,0,32,28,0,28,0,0,2,0,0
1977,38,2,42,32,2,30,0,0,6,0.045,0.053
1978,42,4,47,36,2,34,2,0,4,0.078,0.071
1979,36,8,35,30,7,23,1,0,5,0.186,0.208
1980,30,2,31,27,0,27,2,0,1,0.061,0.033
1981,38,4,35,37,4,33,0,0,1,0.103,0.105
1982,55,5,62,47,4,43,1,0,7,0.075,0.082
1983,60,6,58,56,4,52,0,1,3,0.094,0.083
1984,58,4,70,44,2,42,2,0,12,0.054,0.052
1985,57,3,65,47,2,45,1,0,9,0.044,0.041
1986,77,7,82,66,3,63,2,1,8,0.079,0.065
1987,94,17,96,77,9,68,8,0,9,0.15,0.138
1988,94,11,99,81,11,70,0,0,13,0.1,0.117
1989,105,15,127,71,7,64,8,0,26,0.106,0.103
1990,101,14,115,78,6,72,1,2,20,0.109,0.086
1991,114,8,127,98,4,94,4,0,12,0.059,0.047
1992,150,16,165,121,14,107,2,0,27,0.088,0.099
1993,191,41,218,146,21,125,20,0,25,0.158,0.156
1994,193,42,192,160,33,127,7,1,25,0.179,0.193
1995,185,28,192,154,18,136,7,1,23,0.127,0.121
1996,266,51,299,199,27,172,18,3,46,0.146,0.143
1997,260,43,307,200,26,174,13,0,47,0.123,0.123
1998,385,115,417,281,56,225,22,16,66,0.216,0.214
1999,390,80,460,281,39,242,29,4,76,0.148,0.145
2000,476,137,496,361,73,288,37,10,68,0.216,0.208
2001,427,111,450,317,44,273,38,13,59,0.198,0.174
2002,452,88,468,365,66,299,18,2,67,0.158,0.169
2003,506,104,526,406,79,327,23,0,77,0.165,0.178
2004,536,135,566,403,70,333,35,14,84,0.193,0.187
2005,618,142,658,470,90,380,31,8,109,0.178,0.182
2006,638,141,700,473,75,398,47,6,112,0.168,0.163
2007,682,175,698,528,104,424,42,13,99,0.2,0.199
2008,649,171,659,493,95,398,51,8,97,0.206,0.199
2009,738,187,832,507,94,413,72,8,151,0.184,0.186
2010,662,201,732,454,97,357,58,16,134,0.215,0.214
2011,606,144,687,436,69,367,51,8,111,0.173,0.167
2012,562,146,622,391,57,334,64,8,99,0.19,0.172
2013,443,110,499,323,59,264,34,5,81,0.181,0.181
2014,372,148,397,248,72,176,37,16,71,0.272,0.282
2015,201,90,196,134,39,95,34,7,26,0.315,0.309
2016,10,3,14,5,2,3,1,0,4,0.176,0.25
NA,381,77,418,303,49,254,21,2,55,0.156,0.159
